id,folio,fecha,hora,cantidad,clave,descripcion,precio,categoria,mes,dia,ano,weekday,hora,time_of_day,sales
0,673,39:03.0,09:39:00,1,301,TE DE HIERBAS O NRG,45,BEBIDAS CALIENTES,June,23,2024,Sunday,9,Manana,13.5
1,674,08:02.0,10:08:00,1,702,ARANDANO,5,TOPINGS,June,23,2024,Sunday,10,Manana,1.5
2,674,08:02.0,10:08:00,1,607,DESAYUNO CON PROTEINA PONCHE,100,COMBOS,June,23,2024,Sunday,10,Manana,30
3,674,08:02.0,10:08:00,1,601,DESAYUNO BASICO,85,COMBOS,June,23,2024,Sunday,10,Manana,25.5
4,675,16:39.0,10:16:00,1,601,DESAYUNO BASICO,85,COMBOS,June,23,2024,Sunday,10,Manana,25.5
5,676,20:55.0,10:20:00,1,607,DESAYUNO CON PROTEINA PONCHE,100,COMBOS,June,23,2024,Sunday,10,Manana,30
6,677,21:42.0,10:21:00,1,601,DESAYUNO BASICO,85,COMBOS,June,23,2024,Sunday,10,Manana,25.5
7,678,34:49.0,10:34:00,1,607,DESAYUNO CON PROTEINA PONCHE,100,COMBOS,June,23,2024,Sunday,10,Manana,30
8,678,34:49.0,10:34:00,1,701,NUEZ,5,TOPINGS,June,23,2024,Sunday,10,Manana,1.5
9,679,59:44.0,10:59:00,1,401,MALTEADAS,65,BEBIDAS FRIAS,June,23,2024,Sunday,10,Manana,19.5
10,680,00:20.0,11:00:00,1,407,CHUPAPANZAS LITRO Y MEDIO,95,BEBIDAS FRIAS,June,23,2024,Sunday,11,Manana,28.5
11,681,17:32.0,11:17:00,1,601,DESAYUNO BASICO,85,COMBOS,June,23,2024,Sunday,11,Manana,25.5
12,682,42:34.0,11:42:00,1,402,MEGATE,50,BEBIDAS FRIAS,June,23,2024,Sunday,11,Manana,15
13,683,47:46.0,14:47:00,1,406,JUGO BETABEL,65,BEBIDAS FRIAS,June,23,2024,Sunday,14,Tarde,19.5
14,684,48:11.0,14:48:00,1,503,ALOE TAPA,10,EXTRAS,June,23,2024,Sunday,14,Tarde,3
15,684,48:11.0,14:48:00,1,503,ALOE TAPA,10,EXTRAS,June,23,2024,Sunday,14,Tarde,3
16,685,48:40.0,14:48:00,1,607,DESAYUNO CON PROTEINA PONCHE,100,COMBOS,June,23,2024,Sunday,14,Tarde,30
17,686,03:35.0,08:03:00,1,601,DESAYUNO BASICO,85,COMBOS,June,24,2024,Monday,8,Manana,25.5
18,687,21:21.0,08:21:00,1,401,MALTEADAS,65,BEBIDAS FRIAS,June,24,2024,Monday,8,Manana,19.5
19,687,21:21.0,08:21:00,1,601,DESAYUNO BASICO,85,COMBOS,June,24,2024,Monday,8,Manana,25.5
20,688,44:19.0,08:44:00,1,401,MALTEADAS,65,BEBIDAS FRIAS,June,24,2024,Monday,8,Manana,19.5
